"Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB, SSD 240GB, 15.6""FHD RUS, HDMI, ABYSS BLUEhttps://www.link.kg/catalog/1/41503197",28354.2 ⊆ ,314 $
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 8GB, 128GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41375139",28896 ⊆ ,320 $
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB,SSD 240GB, 15.6""FHD RUS, HDMI, BLACKhttps://www.link.kg/catalog/1/41503203",28444.5 ⊆ ,315 $
"Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080), 4GB, 500GB SSD, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12)https://www.link.kg/catalog/1/41506221",28444.5 ⊆ ,315 $
"Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080), 8GB, 1TB, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12)https://www.link.kg/catalog/1/41506216",28534.8 ⊆ ,316 $
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 1TB + 256GB SSD M.2 NVMe PCIe, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374225",29076.6 ⊆ ,322 $
"Ноутбук Acer Aspire Intel Core i3-1005G1 (1.20-3.40GHz), 4GB DDR4, 1TB HDD, Int VGA, 15.6""FHD LED, no DVDRW, WiFi, Bluetooth, DOS, Black [NX.KAGEM.004](*id 12)https://www.link.kg/catalog/1/41506356",28625.1 ⊆ ,317 $
"S2982G-24TE Управляемый коммутатор уровня 2, 24 порта 10, 100, 1000Base-T и 4 порта 100, 1000BASE-X (SFP) штhttps://www.link.kg/catalog/1/41472433",28625.1 ⊆ ,317 $
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 8GB, 256GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41375137",29347.5 ⊆ ,325 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB + 256GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374357",29347.5 ⊆ ,325 $
"Ноутбук Acer Aspire Intel Core i3-1005G1 (1.20-3.40GHz), 4GB DDR4, 1TB HDD, Int VGA, 15.6""FHD LED, no DVDRW, WiFi, Bluetooth, DOS, Blue [NX.KAFEM.004](*id 12)https://www.link.kg/catalog/1/41506354",28896 ⊆ ,320 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB + 256GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374354",29528.1 ⊆ ,327 $
"Acer Aspire A315-35 Silver Intel N4500 (up to 2.8Ghz), 4GB, 128GB SSD, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41375134",29799 ⊆ ,330 $
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 256GB M.2 NVMe PCIe, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374236",29799 ⊆ ,330 $
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 8GB, 128GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374341",29889.3 ⊆ ,331 $
"Acer Aspire A315-35 Silver Intel N4500 (up to 2.8Ghz), 4GB, 500GB, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41375128",29979.6 ⊆ ,332 $
